hoc_ky,ma_mon_hoc,ma_lop,so_tin_chi,ma_giang_vien,thu,tiet_bat_dau,tiet_ket_thuc,cach_tuan,ngay_bat_dau,ngay_ket_thuc,phong_hoc,si_so,hinh_thuc_giang_day,ghi_chu
2022_2023_1,IE212,IE212.N11,3,*,5,1,4,1,2022-09-04,2022-11-23,B6.12,,LT,
2022_2023_1,IE105,IE105.N11,3,*,4,6,9,1,2022-09-04,2022-11-23,B7.02,,LT,
2022_2023_1,IE103,IE103.N11,3,*,5,1,4,1,2022-09-04,2022-11-23,C109,,LT,
2022_2023_1,DS310,DS310.N11,3,*,4,2,5,1,2022-09-04,2022-11-23,C112,,LT,
2022_2023_1,DS102,DS102.N11.CNVN,3,*,6,1,4,1,2022-09-04,2022-11-23,C306,,LT,
2022_2023_1,DS102,DS102.N12.CNVN,3,*,5,6,9,1,2022-09-04,2022-11-23,C306,,LT,
2022_2023_1,DS102,DS102.N13.CNVN,3,*,5,2,5,1,2022-09-04,2022-11-23,C306,,LT,
2022_2023_1,DS201,DS201.N11,3,*,3,1,4,1,2022-09-04,2022-11-30,C306,,LT,
2022_2023_1,IE104,IE104.N11.CNVN,3,*,4,2,5,1,2022-09-04,2022-11-23,C306,,LT,
2022_2023_1,IE104,IE104.N12.CNVN,3,*,2,6,9,1,2022-09-04,2022-12-07,C306,,LT,
2022_2023_1,IE104,IE104.N13.CNVN,3,*,4,6,9,1,2022-09-04,2022-11-23,C306,,LT,
2022_2023_1,IE106,IE106.N11.CNVN,3,*,3,6,9,1,2022-09-04,2022-12-07,C306,,LT,
2022_2023_1,IE105,IE105.N11.CNVN,3,*,6,1,4,1,2022-09-04,2022-11-23,C307,,LT,
2022_2023_1,IE105,IE105.N12.CNVN,3,*,6,6,9,1,2022-09-04,2022-11-23,C307,,LT,
2022_2023_1,IE212,IE212.N12.CNCL,3,*,7,1,4,1,2022-09-04,2022-11-23,C307,,LT,
2022_2023_1,IE224,IE224.N11.CNCL,3,*,3,6,9,1,2022-09-04,2022-12-07,C307,,LT,
2022_2023_1,IE307,IE307.N11.CNCL,3,*,2,6,9,1,2022-09-04,2022-12-07,C307,,LT,
2022_2023_1,IE307,IE307.N12.CNCL,3,*,4,6,9,1,2022-09-04,2022-11-23,C307,,LT,
2022_2023_1,IE307,IE307.N13.CNCL,3,*,5,1,4,1,2022-09-04,2022-11-23,C307,,LT,
2022_2023_1,IE005,IE005.N11.CNVN,1,*,2,6,8,1,2022-09-09,2022-11-09,C311,,LT,
2022_2023_1,IE005,IE005.N12.CNVN,1,*,2,6,8,1,2022-11-11,2022-12-21,C311,,LT,
2022_2023_1,DS102,DS102.N11.CNVN.1,1,*,4,6,0,2,2022-09-16,2022-12-14,,,HT1,
2022_2023_1,DS102,DS102.N11.CNVN.2,1,*,4,6,0,2,2022-09-23,2022-12-21,,,HT1,
2022_2023_1,IE307,IE307.N12.CNCL.1,1,*,4,1,5,2,2022-09-16,2022-12-14,,,HT1,
2022_2023_1,IE307,IE307.N12.CNCL.2,1,*,4,1,5,2,2022-09-23,2022-12-21,,,HT1,
2022_2023_1,DS101,DS101.N11.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,DS104,DS104.N11.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,DS310,DS310.N11.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,DS317,DS317.N11.1,1,*,*,,,1,2022-09-09,2022-12-14,*,,HT2,
2022_2023_1,IE101,IE101.N11.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,IE101,IE101.N12.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,IE105,IE105.N11.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,IE105,IE105.N11.CNVN.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,IE105,IE105.N12.CNVN.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,IE105,IE105.N13.CNVN.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,IE106,IE106.N11.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,IE106,IE106.N11.CNVN.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,IE106,IE106.N12.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,IE106,IE106.N12.CNVN.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,IE212,IE212.N11.CNCL.1,1,*,6,,,2,2022-09-16,2022-12-14,*,,HT1,
2022_2023_1,IE212,IE212.N11.CNCL.2,1,*,6,,,2,2022-09-23,2022-12-21,*,,HT1,
2022_2023_1,IE212,IE212.N12.CNCL.1,1,*,6,,,2,2022-09-16,2022-12-14,*,,HT1,
2022_2023_1,IE212,IE212.N12.CNCL.2,1,*,6,,,2,2022-09-23,2022-12-21,*,,HT1,
2022_2023_1,IE212,IE212.N13.CNCL.1,1,*,6,,,2,2022-09-16,2022-12-14,*,,HT1,
2022_2023_1,IE212,IE212.N13.CNCL.2,1,*,6,,,2,2022-09-23,2022-12-21,*,,HT1,
2022_2023_1,IE224,IE224.N11.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,IE224,IE224.N11.CNCL.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,IE402,IE402.N11.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,IE402,IE402.N11.CNCL.1,1,*,*,,,1,2022-09-09,2022-12-21,*,,HT2,
2022_2023_1,DS106,DS106.N11.1,1,*,7,6,0,2,2022-09-16,2022-12-14,B2.16,,HT1,
2022_2023_1,DS106,DS106.N11.2,1,*,7,6,0,2,2022-09-23,2022-12-21,B2.16,,HT1,
2022_2023_1,IE212,IE212.N11.1,1,*,4,1,5,2,2022-09-16,2022-12-14,B2.18,,HT1,
2022_2023_1,IE212,IE212.N11.2,1,*,4,1,5,2,2022-09-23,2022-12-21,B2.18,,HT1,
2022_2023_1,IE103,IE103.N11.1,1,*,4,1,5,2,2022-09-16,2022-12-14,B2.20,,HT1,
2022_2023_1,IE103,IE103.N11.2,1,*,4,1,5,2,2022-09-23,2022-12-21,B2.20,,HT1,
2022_2023_1,IE212,IE212.N11.3,1,*,6,6,0,2,2022-09-16,2022-12-14,B2.20,,HT1,
2022_2023_1,IE212,IE212.N11.4,1,*,6,6,0,2,2022-09-23,2022-12-21,B2.20,,HT1,
2022_2023_1,DS201,DS201.N11.1,1,*,3,6,0,2,2022-09-16,2022-12-14,B3.02,,HT1,
2022_2023_1,DS201,DS201.N11.2,1,*,3,6,0,2,2022-09-23,2022-12-21,B3.02,,HT1,
2022_2023_1,DS105,DS105.N11.1,1,*,5,1,5,2,2022-09-16,2022-12-14,B3.04,,HT1,
2022_2023_1,DS105,DS105.N11.2,1,*,5,1,5,2,2022-09-23,2022-12-21,B3.04,,HT1,
2022_2023_1,DS300,DS300.N11.1,1,*,5,6,0,2,2022-09-16,2022-12-14,B3.04,,HT1,
2022_2023_1,DS300,DS300.N11.2,1,*,5,6,0,2,2022-09-23,2022-12-21,B3.04,,HT1,
2022_2023_1,IE104,IE104.N12.CNVN.1,1,*,2,1,5,2,2022-09-16,2022-12-14,B3.06,,HT1,
2022_2023_1,IE104,IE104.N12.CNVN.2,1,*,2,1,5,2,2022-09-23,2022-12-21,B3.06,,HT1,
2022_2023_1,IE307,IE307.N13.CNCL.1,1,*,5,6,0,2,2022-09-16,2022-12-14,B4.02,,HT1,
2022_2023_1,IE307,IE307.N13.CNCL.2,1,*,5,6,0,2,2022-09-23,2022-12-21,B4.02,,HT1,
2022_2023_1,DS102,DS102.N12.CNVN.1,1,*,5,1,5,2,2022-09-16,2022-12-14,B4.04,,HT1,
2022_2023_1,DS102,DS102.N12.CNVN.2,1,*,5,1,5,2,2022-09-23,2022-12-21,B4.04,,HT1,
2022_2023_1,DS102,DS102.N13.CNVN.1,1,*,2,1,5,2,2022-09-16,2022-12-14,B4.04,,HT1,
2022_2023_1,DS102,DS102.N13.CNVN.2,1,*,2,1,5,2,2022-09-23,2022-12-21,B4.04,,HT1,
2022_2023_1,IE104,IE104.N11.CNVN.1,1,*,4,6,0,2,2022-09-16,2022-12-14,B4.04,,HT1,
2022_2023_1,IE104,IE104.N11.CNVN.2,1,*,4,6,0,2,2022-09-23,2022-12-21,B4.04,,HT1,
2022_2023_1,IE104,IE104.N13.CNVN.1,1,*,4,1,5,2,2022-09-16,2022-12-14,B4.04,,HT1,
2022_2023_1,IE104,IE104.N13.CNVN.2,1,*,4,1,5,2,2022-09-23,2022-12-21,B4.04,,HT1,
2022_2023_1,IE307,IE307.N11.CNCL.1,1,*,4,6,0,2,2022-09-16,2022-12-14,B4.06,,HT1,
2022_2023_1,IE307,IE307.N11.CNCL.2,1,*,4,6,0,2,2022-09-23,2022-12-21,B4.06,,HT1,
2022_2023_1,IE104,IE104.N11.1,1,*,3,6,0,2,2022-09-16,2022-12-14,B5.02,,HT1,
2022_2023_1,IE104,IE104.N11.2,1,*,3,6,0,2,2022-09-23,2022-12-21,B5.02,,HT1,
2022_2023_1,IE307,IE307.N11.1,1,*,6,6,0,2,2022-09-16,2022-12-14,B5.02,,HT1,
2022_2023_1,IE307,IE307.N11.2,1,*,6,6,0,2,2022-09-23,2022-12-21,B5.02,,HT1,
2022_2023_1,IE103,IE103.N12.1,1,*,6,6,0,2,2022-09-16,2022-12-14,B5.04,,HT1,
2022_2023_1,IE103,IE103.N12.2,1,*,6,6,0,2,2022-09-23,2022-12-21,B5.04,,HT1,
2022_2023_1,IE230,IE230.N11.CNCL,2,*,3,1,4,1,2022-09-02,2022-12-21,B5.14,,HT1,
2022_2023_1,IT001,IT001.N11.TTNT,3,*,5,6,9,1,2022-09-09,2023-01-04,B3.10,,LT,
2022_2023_1,IT001,IT001.N114,3,*,4,6,9,1,2022-09-09,2023-01-04,B3.14,,LT,
2022_2023_1,IT001,IT001.N118,3,*,5,6,9,1,2022-09-09,2023-01-04,B3.16,,LT,
2022_2023_1,IT001,IT001.N119,3,*,5,1,4,1,2022-09-09,2023-01-04,B3.16,,LT,
2022_2023_1,IT001,IT001.N121,3,*,6,1,4,1,2022-09-09,2023-01-04,B3.16,,LT,
2022_2023_1,IT001,IT001.N123,3,*,6,6,9,1,2022-09-09,2023-01-04,B3.16,,LT,
2022_2023_1,IT001,IT001.N120,3,*,5,1,4,1,2022-09-09,2023-01-04,B3.18,,LT,
2022_2023_1,IT001,IT001.N122,3,*,6,1,4,1,2022-09-09,2023-01-04,B3.18,,LT,
2022_2023_1,IT001,IT001.N124,3,*,6,6,9,1,2022-09-09,2023-01-04,B3.18,,LT,
2022_2023_1,IT001,IT001.N116,3,*,5,1,4,1,2022-09-09,2023-01-04,B3.20,,LT,
2022_2023_1,IT001,IT001.N113,3,*,4,1,4,1,2022-09-09,2023-01-04,B4.16,,LT,
2022_2023_1,IT001,IT001.N115,3,*,4,6,9,1,2022-09-09,2023-01-04,B4.16,,LT,
2022_2023_1,IT001,IT001.N117,3,*,5,1,4,1,2022-09-09,2023-01-04,B4.16,,LT,
2022_2023_1,IT001,IT001.N19,3,*,3,6,9,1,2022-09-09,2023-01-04,B4.16,,LT,
2022_2023_1,IT001,IT001.N111,3,*,4,1,4,1,2022-09-09,2023-01-04,B4.18,,LT,
2022_2023_1,IT001,IT001.N18,3,*,3,6,9,1,2022-09-09,2023-01-04,B4.18,,LT,
2022_2023_1,IT001,IT001.N11,3,*,2,1,4,1,2022-09-09,2023-01-04,B4.20,,LT,
2022_2023_1,IT001,IT001.N112,3,*,4,1,4,1,2022-09-09,2023-01-04,B4.20,,LT,
2022_2023_1,IT001,IT001.N127,3,*,5,6,9,2,2022-09-04,2023-01-04,B4.20,,LT,
2022_2023_1,IT001,IT001.N13,3,*,2,6,9,1,2022-09-09,2023-01-04,B4.20,,LT,
2022_2023_1,IT001,IT001.N16,3,*,3,6,9,1,2022-09-09,2023-01-04,B4.20,,LT,
2022_2023_1,IT001,IT001.N17,3,*,3,1,4,1,2022-09-09,2023-01-04,B4.20,,LT,
2022_2023_1,IT001,IT001.N12,3,*,2,1,4,1,2022-09-09,2023-01-04,B4.22,,LT,
2022_2023_1,IT001,IT001.N14,3,*,2,6,9,1,2022-09-09,2023-01-04,B4.22,,LT,
2022_2023_1,IT001,IT001.N15,3,*,3,1,4,1,2022-09-09,2023-01-04,B4.22,,LT,
2022_2023_1,IT001,IT001.N110,3,*,4,6,9,1,2022-09-09,2023-01-04,B5.10,,LT,
2022_2023_1,IT001,IT001.N11.CLC,3,*,5,1,3,1,2022-09-04,2022-11-23,B6.02,,LT,
2022_2023_1,IT001,IT001.N11.CTTN,3,*,2,6,9,1,2022-09-09,2022-12-28,B6.02,,LT,
2022_2023_1,IT001,IT001.N11.CNVN,3,*,6,2,5,1,2022-09-09,2022-12-28,C311,,LT,
2022_2023_1,IT001,IT001.N12.CNVN,3,*,4,2,5,1,2022-09-09,2022-12-28,C311,,LT,
2022_2023_1,IT002,IT002.N12.CLC,3,*,7,1,4,1,2022-09-04,2022-11-23,B1.10,,LT,
2022_2023_1,IT002,IT002.N11,3,*,2,1,4,1,2022-09-04,2022-12-28,B1.22,,LT,
2022_2023_1,IT002,IT002.N13,3,*,4,6,9,1,2022-09-04,2022-12-28,B1.22,,LT,
2022_2023_1,IT002,IT002.N12,3,*,3,1,4,1,2022-09-04,2022-12-28,B5.10,,LT,
2022_2023_1,IT002,IT002.N11.CTTN,3,*,3,1,4,1,2022-09-04,2022-11-23,B6.02,,LT,
2022_2023_1,IT002,IT002.N11.CLC,3,*,2,1,4,1,2022-09-04,2022-11-23,E32,,LT,
2022_2023_1,IT003,IT003.N11.CLC,3,*,3,6,8,1,2022-09-04,2022-11-23,B1.10,,LT,
2022_2023_1,IT003,IT003.N12.CLC,3,*,3,6,8,1,2022-09-04,2022-11-23,B1.18,,LT,
2022_2023_1,IT003,IT003.N13,3,*,4,6,9,1,2022-09-04,2022-12-28,B1.20,,LT,
2022_2023_1,IT003,IT003.N11,3,*,2,1,4,1,2022-09-04,2022-12-28,B3.22,,LT,
2022_2023_1,IT003,IT003.N14,3,*,5,6,9,1,2022-09-04,2022-12-28,B3.22,,LT,
2022_2023_1,IT003,IT003.N15,3,*,6,6,9,1,2022-09-04,2022-12-28,B3.22,,LT,
2022_2023_1,IT003,IT003.N12,3,*,3,6,9,1,2022-09-04,2022-12-28,B4.22,,LT,
2022_2023_1,IT004,IT004.N13.CLC,3,*,6,6,9,1,2022-09-04,2022-11-23,B1.10,,LT,
2022_2023_1,IT004,IT004.N17,3,*,3,1,4,1,2022-09-04,2022-12-28,B3.14,,LT,
2022_2023_1,IT004,IT004.N18,3,*,3,6,9,1,2022-09-04,2022-12-28,B3.14,,LT,
2022_2023_1,IT004,IT004.N110,3,*,4,1,4,1,2022-09-04,2022-12-28,B3.22,,LT,
2022_2023_1,IT004,IT004.N112,3,*,4,6,9,1,2022-09-04,2022-12-28,B3.22,,LT,
2022_2023_1,IT004,IT004.N19,3,*,3,6,9,1,2022-09-04,2022-12-28,B3.22,,LT,
2022_2023_1,IT004,IT004.N11,3,*,2,1,4,1,2022-09-04,2022-12-28,B4.14,,LT,
2022_2023_1,IT004,IT004.N115,3,*,5,1,4,1,2022-09-04,2022-12-28,B4.14,,LT,
2022_2023_1,IT004,IT004.N119,3,*,6,1,4,1,2022-09-04,2022-12-28,B4.14,,LT,
2022_2023_1,IT004,IT004.N120,3,*,6,6,9,1,2022-09-04,2022-12-28,B5.10,,LT,
2022_2023_1,IT004,IT004.N16,3,*,3,1,4,1,2022-09-04,2022-12-28,B5.12,,LT,
2022_2023_1,IT004,IT004.N12,3,*,2,1,4,1,2022-09-04,2022-12-28,B5.14,,LT,
2022_2023_1,IT004,IT004.N11.CTTN,3,*,4,6,9,1,2022-09-04,2022-11-23,B6.02,,LT,
2022_2023_1,IT004,IT004.N13,3,*,2,1,4,1,2022-09-04,2022-12-28,B6.06,,LT,
2022_2023_1,IT004,IT004.N111,3,*,4,1,4,1,2022-09-04,2022-12-28,B6.08,,LT,
2022_2023_1,IT004,IT004.N113,3,*,4,6,9,1,2022-09-04,2022-12-28,B6.08,,LT,
2022_2023_1,IT004,IT004.N14,3,*,2,6,9,1,2022-09-04,2022-12-28,B6.12,,LT,
2022_2023_1,IT004,IT004.N117,3,*,5,6,9,1,2022-09-04,2022-12-28,B7.04,,LT,
2022_2023_1,IT004,IT004.N114,3,*,5,1,4,1,2022-09-04,2022-12-28,B7.06,,LT,
2022_2023_1,IT004,IT004.N116,3,*,5,6,9,1,2022-09-04,2022-12-28,B7.06,,LT,
2022_2023_1,IT004,IT004.N118,3,*,6,1,4,1,2022-09-04,2022-12-28,B7.06,,LT,
2022_2023_1,IT004,IT004.N11.CNVN,3,*,3,6,9,1,2022-09-04,2022-11-23,C309,,LT,
2022_2023_1,IT004,IT004.N12.CNVN,3,*,5,2,5,1,2022-09-04,2022-11-23,C309,,LT,
2022_2023_1,IT005,IT005.N11.CLC,3,*,4,1,3,1,2022-09-04,2022-11-23,B1.10,,LT,
2022_2023_1,IT005,IT005.N115,3,*,5,1,3,1,2022-09-04,2022-12-28,B3.22,,LT,
2022_2023_1,IT005,IT005.N119,3,*,6,1,3,1,2022-09-04,2022-12-28,B3.22,,LT,
2022_2023_1,IT005,IT005.N15,3,*,2,6,8,1,2022-09-04,2022-12-28,B3.22,,LT,
2022_2023_1,IT005,IT005.N117,3,*,5,6,8,1,2022-09-04,2022-12-28,B5.10,,LT,
2022_2023_1,IT005,IT005.N118,3,*,5,6,8,1,2022-09-04,2022-12-28,B5.12,,LT,
2022_2023_1,IT005,IT005.N18,3,*,3,6,8,1,2022-09-04,2022-12-28,B5.12,,LT,
2022_2023_1,IT005,IT005.N116,3,*,5,1,3,1,2022-09-04,2022-12-28,B6.08,,LT,
2022_2023_1,IT005,IT005.N19,3,*,3,6,8,1,2022-09-04,2022-12-28,B6.08,,LT,
2022_2023_1,IT005,IT005.N110,3,*,4,1,3,1,2022-09-04,2022-12-28,B6.10,,LT,
2022_2023_1,IT005,IT005.N112,3,*,4,6,8,1,2022-09-04,2022-12-28,B6.10,,LT,
2022_2023_1,IT005,IT005.N13,3,*,2,1,3,1,2022-09-04,2022-12-28,B6.10,,LT,
2022_2023_1,IT005,IT005.N14,3,*,2,6,8,1,2022-09-04,2022-12-28,B6.10,,LT,
2022_2023_1,IT005,IT005.N16,3,*,3,1,3,1,2022-09-04,2022-12-28,B6.10,,LT,
2022_2023_1,IT005,IT005.N111,3,*,4,1,3,1,2022-09-04,2022-12-28,B7.04,,LT,
2022_2023_1,IT005,IT005.N114,3,*,4,6,8,1,2022-09-04,2022-12-28,B7.04,,LT,
2022_2023_1,IT005,IT005.N17,3,*,3,1,3,1,2022-09-04,2022-12-28,B7.04,,LT,
2022_2023_1,IT005,IT005.N113,3,*,4,6,8,1,2022-09-04,2022-12-28,B7.06,,LT,
2022_2023_1,IT005,IT005.N11.CNVN,3,*,5,1,3,1,2022-09-04,2022-12-28,C311,,LT,
2022_2023_1,IT005,IT005.N12.CNVN,3,*,6,6,8,1,2022-09-04,2022-12-28,C311,,LT,
2022_2023_1,IT005,IT005.N12,3,*,2,1,3,1,2022-09-04,2022-12-28,C314,,LT,
2022_2023_1,IT006,IT006.N12,3,*,3,6,9,1,2022-09-04,2022-12-28,B6.10,,LT,
2022_2023_1,IT006,IT006.N13,3,*,4,1,4,1,2022-09-04,2022-12-28,B7.06,,LT,
2022_2023_1,IT006,IT006.N11.CLC,3,*,3,6,8,1,2022-09-04,2022-12-28,C216,,LT,
2022_2023_1,IT006,IT006.N11,3,*,3,1,4,1,2022-09-04,2022-12-28,C309,,LT,
2022_2023_1,IT006,IT006.N14,3,*,4,6,9,1,2022-09-04,2022-12-28,C311,,LT,
2022_2023_1,IT007,IT007.N11.CTTN,3,*,5,6,9,1,2022-09-04,2022-11-23,B6.02,,LT,
2022_2023_1,IT007,IT007.N110,3,*,5,6,9,1,2022-09-04,2022-12-28,B6.08,,LT,
2022_2023_1,IT007,IT007.N15,3,*,6,1,4,1,2022-09-04,2022-12-28,B6.10,,LT,
2022_2023_1,IT007,IT007.N17,3,*,6,6,9,1,2022-09-04,2022-12-28,B6.10,,LT,
2022_2023_1,IT007,IT007.N19,3,*,5,1,4,1,2022-09-04,2022-12-28,B6.10,,LT,
2022_2023_1,IT007,IT007.N13,3,*,2,6,9,1,2022-09-04,2022-12-28,B7.04,,LT,
2022_2023_1,IT007,IT007.N16,3,*,6,1,4,1,2022-09-04,2022-12-28,B7.04,,LT,
2022_2023_1,IT007,IT007.N18,3,*,6,6,9,1,2022-09-04,2022-12-28,B7.04,,LT,
2022_2023_1,IT007,IT007.N14,3,*,2,6,9,1,2022-09-04,2022-12-28,B7.06,,LT,
2022_2023_1,IT007,IT007.N12,3,*,2,1,4,1,2022-09-04,2022-12-28,C309,,LT,
2022_2023_1,IT007,IT007.N11.CLC,3,*,3,1,3,1,2022-09-04,2022-12-28,C310,,LT,
2022_2023_1,IT007,IT007.N11,3,*,2,1,4,1,2022-09-04,2022-12-28,C311,,LT,
2022_2023_1,IT012,IT012.N15,3,*,4,6,9,1,2022-09-04,2022-12-28,B4.14,,LT,
2022_2023_1,IT012,IT012.N12,3,*,6,1,4,1,2022-09-09,2023-01-04,B5.10,,LT,
2022_2023_1,IT012,IT012.N14,3,*,4,1,4,1,2022-09-04,2022-12-28,B5.10,,LT,
2022_2023_1,IT012,IT012.N13,3,*,6,6,9,1,2022-09-09,2023-01-04,B5.12,,LT,
2022_2023_1,IT012,IT012.N11,3,*,6,6,9,1,2022-09-09,2023-01-04,B6.08,,LT,
2022_2023_1,IT012,IT012.N12.CNVN,3,*,3,2,5,1,2022-09-04,2022-11-23,C305,,LT,
2022_2023_1,IT012,IT012.N11.CNVN,3,*,6,2,5,1,2022-09-04,2022-11-23,C309,,LT,
2022_2023_1,MA003,MA003.N122,3,*,2,1,4,1,2022-09-09,2023-01-04,B3.16,,LT,
2022_2023_1,MA003,MA003.N124,3,*,2,6,9,1,2022-09-09,2023-01-04,B3.16,,LT,
2022_2023_1,MA003,MA003.N13,3,*,3,6,9,1,2022-09-09,2023-01-04,B3.16,,LT,
2022_2023_1,MA003,MA003.N11,3,*,3,1,4,1,2022-09-09,2023-01-04,B3.18,,LT,
2022_2023_1,MA003,MA003.N115,3,*,5,6,9,1,2022-09-09,2023-01-04,B3.18,,LT,
2022_2023_1,MA003,MA003.N123,3,*,2,1,4,1,2022-09-09,2023-01-04,B3.18,,LT,
2022_2023_1,MA003,MA003.N125,3,*,2,6,9,1,2022-09-09,2023-01-04,B3.18,,LT,
2022_2023_1,MA003,MA003.N14,3,*,3,6,9,1,2022-09-09,2023-01-04,B3.18,,LT,
